name,sy_snum,sy_pnum,disc_method,disc_year,soltype,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,st_rad,st_mass,sy_dist
HD 66428 c,1,2,Radial Velocity,2021,Published Confirmed,39000,23,,,0.32,1.17,1.05,53.2817
HD 67087 b,1,2,Radial Velocity,2015,Published Confirmed,352.2,1.08,,,0.17,1.55,1.36,76.5217
HD 67087 c,1,2,Radial Velocity,2015,Published Confirmed,2374,3.86,,,0.76,1.55,1.36,76.5217
HD 6718 b,1,1,Radial Velocity,2009,Published Confirmed,2496,3.56,,,0.1,1.02,0.96,51.3444
HD 6718 b,1,1,Radial Velocity,2009,Published Confirmed,2496,3.55,,,0.1,0.95,1.08,51.3444
HD 68402 b,1,1,Radial Velocity,2016,Published Confirmed,1103,2.18,,,0.03,1.02,1.12,78.4293
HD 68988 b,1,2,Radial Velocity,2001,Published Confirmed,6.2764187,0.0702,,,0.1581,1.26,1.17,60.8447
HD 68988 b,1,2,Radial Velocity,2001,Published Confirmed,6.27711,0.07,,,0.12,1.19,1.28,60.8447
HD 68988 b,1,2,Radial Velocity,2001,Published Confirmed,6.27711,0.0704,,,0.1249,,1.18,60.8447
HD 68988 b,1,2,Radial Velocity,2001,Published Confirmed,6.276,0.071,,,0.14,,1.2,60.8447
HD 68988 c,1,2,Radial Velocity,2021,Published Confirmed,16000,13.2,,,0.45,1.26,1.17,60.8447
HD 69123 b,1,1,Radial Velocity,2022,Published Confirmed,1193.3,2.482,,,0.19,7.72,1.68,75.116
HD 69830 b,1,3,Radial Velocity,2006,Published Confirmed,8.667,0.0785,,,0.1,,0.86,12.5591
HD 69830 b,1,3,Radial Velocity,2006,Published Confirmed,8.66945,0.0794,,,0.112,0.89,0.89,12.5591
HD 69830 c,1,3,Radial Velocity,2006,Published Confirmed,31.56,0.186,,,0.13,,0.86,12.5591
HD 69830 c,1,3,Radial Velocity,2006,Published Confirmed,31.613,0.1882,,,0.114,0.89,0.89,12.5591
HD 69830 d,1,3,Radial Velocity,2006,Published Confirmed,197,0.63,,,0.07,,0.86,12.5591
HD 69830 d,1,3,Radial Velocity,2006,Published Confirmed,200.61,0.645,,,0.1,0.89,0.89,12.5591
HD 70573 b,1,1,Radial Velocity,2007,Published Confirmed,851.8,1.76,,,0.4,,1,59.182
HD 70642 b,1,1,Radial Velocity,2003,Published Confirmed,2068,3.23,,,0.034,,1.05,29.276
HD 70642 b,1,1,Radial Velocity,2003,Published Confirmed,2124.54,3.318,,,0.175,0.98,1.08,29.276
HD 70642 b,1,1,Radial Velocity,2003,Published Confirmed,2068,3.18,,,0.03,1.02,0.96,29.276
HD 70642 b,1,1,Radial Velocity,2003,Published Confirmed,2231,3.3,,,0.1,,1,29.276
HD 7199 b,1,1,Radial Velocity,2011,Published Confirmed,615,1.36,,,0.19,0.96,0.89,36.1531
HD 7199 b,1,1,Radial Velocity,2011,Published Confirmed,615,1.36,,,0.19,0.97,0.77,36.1531
HD 72490 b,1,1,Radial Velocity,2018,Published Confirmed,858,1.88,,,0.124,4.96,1.21,126.339
HD 72659 b,1,1,Radial Velocity,2002,Published Confirmed,3506,,,,0.249,,1.07,51.8949
HD 72659 b,1,1,Radial Velocity,2002,Published Confirmed,3658,4.74,,,0.22,1.36,1.06,51.8949
HD 72659 b,1,1,Radial Velocity,2002,Published Confirmed,3383,4.511,,,0.271,,1.07,51.8949
HD 72659 b,1,1,Radial Velocity,2002,Published Confirmed,3570,4.652,,,0.269,1.52,1.05,51.8949
HD 72659 b,1,1,Radial Velocity,2002,Published Confirmed,3630,4.77,,,0.269,1.45,1.09,51.8949
HD 72659 b,1,1,Radial Velocity,2002,Published Confirmed,3658,4.75,,,0.22,1.46,1.43,51.8949
HD 72659 b,1,1,Radial Velocity,2002,Published Confirmed,2185,3.24,,,0.18,,0.95,51.8949
HD 72892 b,1,1,Radial Velocity,2016,Published Confirmed,39.475,0.228,,,0.423,1.22,1.02,69.7311
HD 73267 b,1,1,Radial Velocity,2008,Published Confirmed,1245.36,2.187,,,0.23,0.91,0.9,50.4093
HD 73267 b,1,1,Radial Velocity,2008,Published Confirmed,1260,2.198,,,0.256,1.04,0.89,50.4093
HD 73526 b,1,2,Radial Velocity,2002,Published Confirmed,188.9,0.65,,,0.29,,1.01,97.2396
HD 73526 b,1,2,Radial Velocity,2002,Published Confirmed,188.3,0.65,,,0.19,1.53,1.14,97.2396
HD 73526 b,1,2,Radial Velocity,2002,Published Confirmed,190.5,0.66,,,0.34,,1.05,97.2396
HD 73526 c,1,2,Radial Velocity,2005,Published Confirmed,379.1,1.03,,,0.28,,1.01,97.2396
HD 73534 b,1,1,Radial Velocity,2008,Published Confirmed,1770,3.02,,,0.07,2.63,1.4,83.3321
HD 73534 b,1,1,Radial Velocity,2008,Published Confirmed,1707,,,,0.022,,1.17,83.3321
HD 73534 b,1,1,Radial Velocity,2008,Published Confirmed,1770,3.067,,,0.074,2.39,1.23,83.3321
HD 73534 b,1,1,Radial Velocity,2008,Published Confirmed,1750,2.99,,,0.126,2.58,1.16,83.3321
HD 73534 b,1,1,Radial Velocity,2008,Published Confirmed,1721,2.95,,,0,2.58,1.16,83.3321
HD 73583 b,1,2,Transit,2022,Published Confirmed,6.398042,0.0604,2.79,10.2,0.09,0.65,0.73,31.5666
HD 73583 b,1,2,Transit,2022,TESS Project Candidate,6.39805964,,2.522,,,0.63,,31.5666
HD 73583 c,1,2,Transit,2022,Published Confirmed,18.87974,0.1242,2.39,9.7,0.08,0.65,0.73,31.5666
HD 73583 c,1,2,Transit,2022,TESS Project Candidate,18.87974368,,2.465,,,0.63,,31.5666
HD 74156 b,1,2,Radial Velocity,2003,Published Confirmed,51.643,0.294,,,0.636,,1.27,57.603
HD 74156 b,1,2,Radial Velocity,2003,Published Confirmed,51.63603,0.2844,,,0.6536,1.51,1.15,57.603
HD 74156 b,1,2,Radial Velocity,2003,Published Confirmed,51.638,0.29169,,,0.63,1.64,1.24,57.603
HD 74156 b,1,2,Radial Velocity,2003,Published Confirmed,51.6385,0.2916,,,0.638,1.48,1.1,57.603
HD 74156 b,1,2,Radial Velocity,2003,Published Confirmed,51.645,0.292,,,0.627,,1.24,57.603
HD 74156 c,1,2,Radial Velocity,2003,Published Confirmed,2448.6,3.726,,,0.3691,1.51,1.15,57.603
HD 74156 c,1,2,Radial Velocity,2003,Published Confirmed,2473,3.85,,,0.432,,1.24,57.603
HD 74156 c,1,2,Radial Velocity,2003,Published Confirmed,2460,,,,0.37,,1.24,57.603
HD 74156 c,1,2,Radial Velocity,2003,Published Confirmed,2448.9,3.82,,,0.3829,1.48,1.1,57.603
HD 74156 c,1,2,Radial Velocity,2003,Published Confirmed,2025,3.4,,,0.583,,1.27,57.603
HD 74156 c,1,2,Radial Velocity,2003,Published Confirmed,2520,3.9,,,0.38,1.64,1.24,57.603
HD 7449 b,2,1,Radial Velocity,2011,Published Confirmed,1275,2.3,,,0.82,1.01,1.05,38.662
HD 7449 b,2,1,Radial Velocity,2011,Published Confirmed,1255.5,2.38,,,0.92,,1.05,38.662
HD 7449 b,2,1,Radial Velocity,2011,Published Confirmed,1270.5,2.33,,,0.8,1.03,1.12,38.662
HD 7449 b,2,1,Radial Velocity,2011,Published Confirmed,1275,2.34,,,0.82,0.97,1.14,38.662
HD 75289 b,2,1,Radial Velocity,1999,Published Confirmed,3.50927,0.05,,,0.03,1.23,1.29,29.1158
HD 75289 b,2,1,Radial Velocity,1999,Published Confirmed,3.509267,0.0482,,,0.034,,1.21,29.1158
HD 75289 b,2,1,Radial Velocity,1999,Published Confirmed,3.5098,0.046,,,0.024,,1.15,29.1158
HD 75289 b,2,1,Radial Velocity,1999,Published Confirmed,3.508,0.047,,,0.014,,1.15,29.1158
HD 75784 b,1,2,Radial Velocity,2014,Published Confirmed,341.5,1.033,,,0.142,3.4,1.26,85.4321
HD 75784 b,1,2,Radial Velocity,2014,Published Confirmed,341.2,1.032,,,0.097,3.4,1.26,85.4321
HD 75784 b,1,2,Radial Velocity,2014,Published Confirmed,341.7,1.073,,,0.13,3.3,1.41,85.4321
HD 75784 c,1,2,Radial Velocity,2018,Published Confirmed,7900,8.4,,,0.489,3.4,1.26,85.4321
HD 75784 c,1,2,Radial Velocity,2018,Published Confirmed,5040,6.46,,,0.36,3.17,1.33,85.4321
HD 75784 c,1,2,Radial Velocity,2018,Published Confirmed,3878,5.22,,,0.266,3.4,1.26,85.4321
HD 75898 b,1,1,Radial Velocity,2007,Published Confirmed,418.20001,1.19,,,0.1,1.55,1.43,78.0505
HD 75898 b,1,1,Radial Velocity,2007,Published Confirmed,418.2,1.19,,,0.1,1.6,1.28,78.0505
HD 75898 b,1,1,Radial Velocity,2007,Published Confirmed,422.9,1.191,,,0.11,1.58,1.26,78.0505
HD 76700 b,1,1,Radial Velocity,2002,Published Confirmed,3.971,0.049,,,0,,1,60.8831
HD 76700 b,1,1,Radial Velocity,2002,Published Confirmed,3.97097,0.0511,,,0.095,,1.13,60.8831
HD 76700 b,1,1,Radial Velocity,2002,Published Confirmed,3.97097,0.05,,,0.09,1.37,0.99,60.8831
HD 76920 b,1,1,Radial Velocity,2017,Published Confirmed,415.4,1.149,,,0.856,7.47,1.17,184.031
HD 77338 b,1,1,Radial Velocity,2012,Published Confirmed,5.7361,0.06,,,0.09,0.97,1.37,45.935
HD 77338 b,1,1,Radial Velocity,2012,Published Confirmed,5.7361,0.0614,,15.9,0.09,0.88,0.93,45.935
HD 79181 b,1,1,Radial Velocity,2021,Published Confirmed,273.1,0.9,,,0.259,11.06,1.28,103.335
HD 7924 b,1,3,Radial Velocity,2008,Published Confirmed,5.39699,,,,0,0.79,0.87,16.9922
HD 7924 b,1,3,Radial Velocity,2008,Published Confirmed,5.3978,0.057,,,0.17,0.78,0.83,16.9922
HD 7924 b,1,3,Radial Velocity,2008,Published Confirmed,5.39792,0.05664,,,0.058,0.78,0.83,16.9922
HD 7924 b,1,3,Radial Velocity,2008,Published Confirmed,5.39792,0.06,,,0.06,0.78,0.65,16.9922
HD 7924 b,1,3,Radial Velocity,2008,Published Confirmed,5.39785,0.05595,,,0.049,0.78,0.8,16.9922
HD 7924 c,1,3,Radial Velocity,2015,Published Confirmed,15.3006,0.1121,,,0.1,0.78,0.8,16.9922
HD 7924 c,1,3,Radial Velocity,2015,Published Confirmed,15.299,0.1134,,,0.098,0.78,0.83,16.9922
HD 7924 d,1,3,Radial Velocity,2015,Published Confirmed,24.4459,0.1532,,,0.17,0.78,0.8,16.9922
HD 7924 d,1,3,Radial Velocity,2015,Published Confirmed,24.451,0.1551,,,0.21,0.78,0.83,16.9922
HD 79498 b,2,1,Radial Velocity,2011,Published Confirmed,1807,2.98,,,0.575,1.05,1.08,48.9489
HD 79498 b,2,1,Radial Velocity,2011,Published Confirmed,1966.1,3.13,,,0.59,,1.06,48.9489
HD 80606 b,2,1,Radial Velocity,2001,Published Confirmed,111.4367,0.4565,11.243,1308.18828,0.93226,1.04,1.02,66.4711
HD 80606 b,2,1,Radial Velocity,2001,Published Confirmed,111.4367,0.4564,11.243,1307.55262,,1.04,1.02,66.4711
HD 80606 b,2,1,Radial Velocity,2001,Published Confirmed,111.43639,0.4602,,,0.93043,1.07,1.05,66.4711
HD 80606 b,2,1,Radial Velocity,2001,Published Confirmed,111.429,0.447,,,0.9324,,0.96,66.4711
HD 80606 b,2,1,Radial Velocity,2001,Published Confirmed,111.428,0.46,,,0.933,1.09,0.97,66.4711
HD 80606 b,2,1,Radial Velocity,2001,Published Confirmed,111.4367,,11.994,1392.0954,0.93,1.04,1.15,66.4711
HD 80606 b,2,1,Radial Velocity,2001,Published Confirmed,111.4357,0.449,10.98,1252.2,0.9332,0.98,0.97,66.4711
HD 80653 b,1,1,Transit,2020,Published Candidate,0.719597,,,,,1.22,,109.86
HD 80653 b,1,1,Transit,2020,TESS Project Candidate,0.71957121,,1.611,,,1.26,,109.86
HD 80653 b,1,1,Transit,2020,Published Confirmed,0.719573,0.0166,1.613,5.6,,1.22,1.18,109.86
HD 80869 b,1,1,Radial Velocity,2021,Published Confirmed,1711.7,2.878,,,0.862,1.06,1.08,85.3951
HD 81040 b,1,1,Radial Velocity,2005,Published Confirmed,1001.7,1.94,,,0.526,0.86,0.96,34.4341
HD 81040 b,1,1,Radial Velocity,2005,Published Confirmed,1002.7,1.946,,2301.07767,0.525,,0.99,34.4341
HD 81040 b,1,1,Radial Velocity,2005,Published Confirmed,1001.70001,1.94,,,0.53,0.91,1.05,34.4341
HD 81688 b,1,1,Radial Velocity,2007,Published Confirmed,,0.66,,,,,1.1,85.7183
HD 81688 b,1,1,Radial Velocity,2007,Published Confirmed,184.02,0.81,,,0,13,2.1,85.7183
HD 81817 b,1,1,Radial Velocity,2020,Published Confirmed,1047.1,3.3,,,0.17,83.8,4.3,269.126
HD 82886 b,1,1,Radial Velocity,2011,Published Confirmed,705,1.58,,,0.07,5.26,2.53,127.061
HD 82886 b,1,1,Radial Velocity,2011,Published Confirmed,705,1.65,,,0.066,4.8,1.06,127.061
HD 82943 b,1,2,Radial Velocity,2003,Published Confirmed,441.2,1.18,,,0.219,1.18,1.08,27.5902
HD 82943 b,1,2,Radial Velocity,2003,Published Confirmed,441.47,1.18306,,534.25,0.162,1.18,1.08,27.5902
HD 82943 b,1,2,Radial Velocity,2003,Published Confirmed,442.4,1.151,,,0.203,1.03,1.04,27.5902
HD 82943 b,1,2,Radial Velocity,2003,Published Confirmed,441.93,1.189,,,0.142,1.2,1.15,27.5902
HD 82943 b,1,2,Radial Velocity,2003,Published Confirmed,435.1,1.18,,,0.18,,1.15,27.5902
HD 82943 c,1,2,Radial Velocity,2003,Published Confirmed,219.3,0.747,,,0.359,1.18,1.08,27.5902
HD 82943 c,1,2,Radial Velocity,2003,Published Confirmed,219.4,0.75,,,0.38,,1.15,27.5902
HD 82943 c,1,2,Radial Velocity,2003,Published Confirmed,219.929,0.747,,,0.421,1.2,1.15,27.5902
HD 82943 c,1,2,Radial Velocity,2003,Published Confirmed,220.078,0.74345,,622.603,0.3663,1.18,1.08,27.5902
HD 82943 c,1,2,Radial Velocity,2003,Published Confirmed,219.3,0.7209,,,0.425,1.03,1.04,27.5902
HD 8326 b,1,1,Radial Velocity,2019,Published Confirmed,158.991,0.533,,,0.2,,0.8,30.6862
HD 83443 b,1,2,Radial Velocity,2002,Published Confirmed,2.9857,0.04,,,0.01,0.94,0.79,40.8991
HD 83443 b,1,2,Radial Velocity,2002,Published Confirmed,2.98553,0.0375,,,0.052,,0.79,40.8991
HD 83443 b,1,2,Radial Velocity,2002,Published Confirmed,2.985628,0.0406,,,0.012,0.94,1,40.8991
HD 83443 b,1,2,Radial Velocity,2002,Published Confirmed,2.98566,0.04067,,,0.074,1.02,1.01,40.8991
HD 83443 b,1,2,Radial Velocity,2002,Published Confirmed,2.985625,0.0406,,,0.008,1,0.95,40.8991
HD 83443 b,1,2,Radial Velocity,2002,Published Confirmed,2.985698,0.0406,,,0.012,1,0.95,40.8991
HD 83443 b,1,2,Radial Velocity,2002,Published Confirmed,2.98565,0.039,,,0.013,,0.9,40.8991
HD 83443 c,1,2,Radial Velocity,2022,Published Confirmed,8241,8,,476.74261,0.76,0.94,1,40.8991
HD 8535 b,2,1,Radial Velocity,2010,Published Confirmed,1313,2.45,,,0.15,1.19,1.13,55.4401
HD 85390 b,1,1,Radial Velocity,2009,Published Confirmed,788,1.52,,,0.41,,0.76,33.5225
HD 85390 b,1,1,Radial Velocity,2009,Published Confirmed,799.52,1.373,,,0.5,,0.76,33.5225
HD 85390 b,1,1,Radial Velocity,2009,Published Confirmed,788,1.52,,,0.41,0.8,0.54,33.5225
HD 85512 b,1,1,Radial Velocity,2011,Published Confirmed,58.43,0.26,,,0.11,,0.69,11.281
HD 85512 b,1,1,Radial Velocity,2011,Published Confirmed,58.43,0.26,,,0.11,0.71,0.43,11.281
HD 8574 b,1,1,Radial Velocity,2002,Published Confirmed,227,0.76,,,0.3,1.38,1.34,44.8264
HD 8574 b,1,1,Radial Velocity,2002,Published Confirmed,227.04,0.75,,,0.306,1.42,1.09,44.8264
HD 8574 b,1,1,Radial Velocity,2002,Published Confirmed,227,0.757,,,0.297,,1.12,44.8264
HD 8574 b,1,1,Radial Velocity,2002,Published Confirmed,227.55,0.77,,,0.288,1.41,1.12,44.8264
HD 86081 b,2,1,Radial Velocity,2006,Published Confirmed,2.1375,0.03,,,0.01,1.58,1.39,103.936
HD 86081 b,2,1,Radial Velocity,2006,Published Confirmed,2.1375,0.035,,,0.008,1.22,1.21,103.936
HD 86081 b,2,1,Radial Velocity,2006,Published Confirmed,2.1378431,0.0346,,,0.0119,1.46,1.21,103.936
HD 86226 b,1,2,Radial Velocity,2009,Published Confirmed,1534,2.6,,,0.73,,1.02,45.683
HD 86226 b,1,2,Radial Velocity,2009,Published Confirmed,1628,2.73,,143.0235,0.059,1.05,1.02,45.683
HD 86226 b,1,2,Radial Velocity,2009,Published Confirmed,1695,2.84,,,0.15,1.02,1.06,45.683
HD 86226 c,1,2,Transit,2020,TESS Project Candidate,3.98467677,,2.109,,,1.03,,45.683
HD 86226 c,1,2,Transit,2020,Published Confirmed,3.98442,0.049,2.16,7.25,0.075,1.05,1.02,45.683
HD 86264 b,1,1,Radial Velocity,2009,Published Confirmed,1475,2.86,,,0.7,1.88,1.42,67.8107
HD 8673 b,2,1,Radial Velocity,2009,Published Confirmed,1634,3.02,,,0.723,1.5,1.28,37.8619
HD 86950 b,1,1,Radial Velocity,2016,Published Confirmed,1270,2.72,,,0.17,8.8,1.66,209.839
HD 87646 b,3,1,Radial Velocity,2016,Published Confirmed,13.481,0.117,,,0.05,1.55,1.12,73.58352
HD 87883 b,1,1,Radial Velocity,2009,Published Confirmed,2754,3.58,,,0.53,0.79,0.66,18.2912
HD 87883 b,1,1,Radial Velocity,2009,Published Confirmed,3006,3.77,,2005.49725,0.72,,0.8,18.2912
HD 87883 b,1,1,Radial Velocity,2009,Published Confirmed,3303,4.072,,,0.7121,0.8,0.83,18.2912
HD 87883 b,1,1,Radial Velocity,2009,Published Confirmed,2754,3.6,,,0.53,0.76,0.82,18.2912
HD 88133 b,1,1,Radial Velocity,2004,Published Confirmed,3.41587,0.0472,,,0.133,2.03,0.94,73.6123
HD 88133 b,1,1,Radial Velocity,2004,Published Confirmed,3.4148674,0.04691,,324.1866,0.05,1.94,1.18,73.6123
HD 88133 b,1,1,Radial Velocity,2004,Published Confirmed,3.41587,0.05,,,0.13,2.01,1.23,73.6123
HD 88133 b,1,1,Radial Velocity,2004,Published Confirmed,3.414884,0.0479,,,0.031,2.2,1.26,73.6123
HD 88133 b,1,1,Radial Velocity,2004,Published Confirmed,3.414887,0.0479,,,0,2.2,1.26,73.6123
HD 88133 b,1,1,Radial Velocity,2004,Published Confirmed,3.415,0.046,,,0.11,1.93,1.2,73.6123
HD 89307 b,1,1,Radial Velocity,2009,Published Confirmed,2199,3.3632,,,0.25,1.01,1.05,32.0104
HD 89307 b,1,1,Radial Velocity,2009,Published Confirmed,2157,3.27,,,0.241,1.05,1.03,32.0104
HD 89307 b,1,1,Radial Velocity,2009,Published Confirmed,2900,3.9,,,0.01,1.09,1.09,32.0104
HD 89307 b,1,1,Radial Velocity,2009,Published Confirmed,2199,3.34,,,0.25,,1.03,32.0104
HD 89307 b,1,1,Radial Velocity,2009,Published Confirmed,2166,3.27,,,0.2,1.1,1.27,32.0104
HD 89345 b,1,1,Transit,2018,Published Confirmed,11.8143,0.1115,7.263,38.45743,0.22,1.73,1.32,132.345
HD 89345 b,1,1,Transit,2018,TESS Project Candidate,11.81417262,,6.972,,,1.79,,132.345
HD 89345 b,1,1,Transit,2018,Published Confirmed,11.81399,0.105,6.86,35.7,0.203,1.66,1.12,132.345
HD 89345 b,1,1,Transit,2018,Published Confirmed,11.8143,0.1066,7.398,34.9613,0.22,1.75,1.16,132.345
HD 89744 b,2,1,Radial Velocity,1999,Published Confirmed,256.78,0.917,,,0.677,,1.86,38.6364
HD 89744 b,2,1,Radial Velocity,1999,Published Confirmed,256.78,0.91,,,0.689,2.13,1.21,38.6364
HD 89744 b,2,1,Radial Velocity,1999,Published Confirmed,256.78,0.918,,,0.673,,1.56,38.6364
HD 90156 b,1,1,Radial Velocity,2009,Published Confirmed,49.77,0.25,,,0.31,,0.84,21.9496
HD 90156 b,1,1,Radial Velocity,2009,Published Confirmed,49.609,0.2509,,,0.16,0.92,0.86,21.9496
HD 9174 b,1,1,Radial Velocity,2016,Published Confirmed,1179,2.2,,,0.12,1.67,1.03,81.4893
HD 92788 b,1,2,Radial Velocity,2000,Published Confirmed,326.7,0.95,,,0.3,1.05,1.06,34.6538
HD 92788 b,1,2,Radial Velocity,2000,Published Confirmed,325.81,0.95,,,0.33,1.11,1.15,34.6538
HD 92788 b,1,2,Radial Velocity,2000,Published Confirmed,325.705,0.949,,,0.3552,1.16,1.08,34.6538
HD 92788 b,1,2,Radial Velocity,2000,Published Confirmed,325.803,0.97,,,0.35,1.14,1.15,34.6538
HD 92788 b,1,2,Radial Velocity,2000,Published Confirmed,325,0.96,,,0.35,,1.1,34.6538
HD 92788 b,1,2,Radial Velocity,2000,Published Confirmed,325.72,0.971,,,0.351,,1.03,34.6538
HD 92788 c,1,2,Radial Velocity,2019,Published Confirmed,8360,8.26,,,0.355,1.16,1.08,34.6538
HD 92788 c,1,2,Radial Velocity,2019,Published Confirmed,11611.2975,10.5,,,0.46,1.14,1.15,34.6538
HD 93083 b,1,1,Radial Velocity,2005,Published Confirmed,143.58,0.477,,,0.14,,0.7,28.5159
HD 93385 b,1,3,Radial Velocity,2021,Published Confirmed,7.3426,0.0756,,,0.295,,1.04,43.3475
HD 93385 c,1,3,Radial Velocity,2021,Published Confirmed,13.18,0.112,,,0.2,,1.04,43.3475
HD 93385 d,1,3,Radial Velocity,2021,Published Confirmed,45.85,0.2565,,,0.09,,1.04,43.3475
HD 93963 A b,2,2,Transit,2022,TESS Project Candidate,1.0376109,,1.537,,,1.05,,82.3432
HD 93963 A b,2,2,Transit,2022,Published Confirmed,1.0391353,0.02085,1.35,7.8,,1.04,1.11,82.3432
HD 93963 A c,2,2,Transit,2022,Published Confirmed,3.6451398,0.04813,3.228,19.2,,1.04,1.11,82.3432
HD 93963 A c,2,2,Transit,2022,TESS Project Candidate,3.6451549,,2.993,,,1.05,,82.3432
HD 9446 b,1,2,Radial Velocity,2009,Published Confirmed,30.052,0.189,,,0.2,1,1,50.3503
HD 9446 c,1,2,Radial Velocity,2009,Published Confirmed,192.9,0.654,,,0.06,1,1,50.3503
HD 94834 b,1,1,Radial Velocity,2018,Published Confirmed,1576,2.74,,,0.14,4.2,1.11,98.1609
HD 95086 b,1,1,Imaging,2013,Published Confirmed,,,,1748.065,,1.49,1.77,86.2279
HD 95086 b,1,1,Imaging,2013,Published Confirmed,,,,1430.235,,1.49,1.77,86.2279
HD 95086 b,1,1,Imaging,2013,Published Confirmed,,55.7,,1589,,,1.6,86.2279
HD 95086 b,1,1,Imaging,2013,Published Confirmed,,56,,1589,,,1.6,86.2279
HD 95089 b,1,2,Radial Velocity,2009,Published Confirmed,507,1.51,,,0.157,4.9,1.58,136.957
HD 95089 b,1,2,Radial Velocity,2009,Published Confirmed,464.4,1.36,,,0.119,5.08,1.54,136.957
HD 95089 c,1,2,Radial Velocity,2018,Published Confirmed,1860,,,,0.294,,1.38,136.957
HD 95089 c,1,2,Radial Velocity,2018,Published Confirmed,1785,3.33,,,0.284,5.08,1.54,136.957
HD 95127 b,1,1,Radial Velocity,2015,Published Confirmed,482,1.28,,,0.11,41.01,3.7,676.579
HD 95127 b,1,1,Radial Velocity,2015,Published Confirmed,482,1.28,,,0.11,20,1.2,676.579
HD 95338 b,1,1,Radial Velocity,2020,Published Confirmed,55.087,0.262,3.89,42.44,0.197,0.87,0.83,36.9941
HD 95338 b,1,1,Radial Velocity,2020,TESS Project Candidate,55.087,,4.064,,,0.87,,36.9941
HD 95544 b,1,1,Radial Velocity,2021,Published Confirmed,2172,3.386,,,0.043,1.09,1.09,87.8049
HD 95735 c,1,2,Radial Velocity,2021,Published Confirmed,3190,3.1,,,0.14,0.37,0.39,5.675773
HD 95735 c,1,2,Radial Velocity,2021,Published Confirmed,2946,2.94,,,0.132,0.37,0.39,5.675773
HD 95872 b,1,1,Radial Velocity,2015,Published Confirmed,4375,5.2,,,0.06,,0.95,72.2195
HD 95872 b,1,1,Radial Velocity,2015,Published Confirmed,4375,5.15,,,0.06,0.84,0.7,72.2195
HD 96063 b,1,1,Radial Velocity,2011,Published Confirmed,362.5,1.11,,,0.17,4.75,1.37,140.065
HD 96063 b,1,1,Radial Velocity,2011,Published Confirmed,361.1,0.99,,,0.03,4.5,1.02,140.065
HD 96127 b,1,1,Radial Velocity,2011,Published Confirmed,647.3,1.4,,,0.3,35,0.91,587.659
HD 96127 b,1,1,Radial Velocity,2011,Published Confirmed,647.29999,1.42,,,0.3,51.1,10.94,587.659
HD 96167 b,2,1,Radial Velocity,2009,Published Confirmed,498.89999,1.35,,,0.71,1.85,1.67,85.3006
HD 96167 b,2,1,Radial Velocity,2009,Published Confirmed,498.04,1.332,,,0.685,1.94,1.27,85.3006
HD 96167 b,2,1,Radial Velocity,2009,Published Confirmed,498.1,1.332,,,0.681,1.94,1.27,85.3006
HD 96167 b,2,1,Radial Velocity,2009,Published Confirmed,498.9,1.3,,,0.71,1.86,1.31,85.3006
HD 96700 b,1,3,Radial Velocity,2021,Published Confirmed,8.1245,0.0777,,,0.138,,0.89,25.4111
HD 96700 c,1,3,Radial Velocity,2021,Published Confirmed,19.88,0.141,,,0.293,,0.89,25.4111
HD 96700 d,1,3,Radial Velocity,2021,Published Confirmed,103.5,0.424,,,0.27,,0.89,25.4111
HD 96992 b,1,1,Radial Velocity,2021,Published Confirmed,514,1.24,,,0.41,7.43,0.96,396.082
HD 97048 b,1,1,Disk Kinematics,2019,Published Confirmed,,130,,794.575,,2.25,2.4,183.857
HD 97658 b,1,1,Radial Velocity,2010,TESS Project Candidate,9.497,,2.148,,,0.77,,21.5618
HD 97658 b,1,1,Radial Velocity,2010,Published Confirmed,9.4909,0.0796,2.341,7.86,0.063,0.7,0.75,21.5618
HD 97658 b,1,1,Radial Velocity,2010,Published Confirmed,9.4897116,,2.12,8.3,0.05,0.73,0.85,21.5618
HD 97658 b,1,1,Radial Velocity,2010,Published Confirmed,9.4957,,,,0.13,0.77,0.86,21.5618
HD 97658 b,1,1,Radial Velocity,2010,Published Confirmed,9.489264,,,,,,,21.5618
HD 97658 b,1,1,Radial Velocity,2010,Published Confirmed,9.4903,0.08,2.247,7.55,0.078,0.74,0.77,21.5618
HD 97658 b,1,1,Radial Velocity,2010,Published Confirmed,9.48908,0.0805,,,0.063,0.75,0.77,21.5618
HD 97658 b,1,1,Radial Velocity,2010,Published Confirmed,9.4909,,2.354,8.88263,0.06,0.74,0.89,21.5618
HD 97658 b,1,1,Radial Velocity,2010,Published Confirmed,9.494,0.0831,,,,0.68,0.78,21.5618
HD 98219 b,1,1,Radial Velocity,2011,Published Confirmed,436.9,1.23,,,0.112,4.5,1.3,113.704
HD 98219 b,1,1,Radial Velocity,2011,Published Confirmed,436.89999,1.32,,,0,3.85,1.71,113.704
HD 98219 b,1,1,Radial Velocity,2011,Published Confirmed,433.8,1.26,,,0.079,4.6,1.41,113.704
HD 98649 b,1,1,Radial Velocity,2012,Published Confirmed,5384,5.97,,3082.93555,0.852,,0.97,42.1727
HD 98649 b,1,1,Radial Velocity,2012,Published Confirmed,6022.9725,6.57,,,0.86,1.01,1.03,42.1727
HD 98649 b,1,1,Radial Velocity,2012,Published Confirmed,4951,5.6,,,0.85,1,1,42.1727
